a(chebi:10100)	partOf	complex(a(chebi:10100), p(hgnc:19679))	{"relation": "partOf"}
a(chebi:101381)	decreases	act(p(hgnc:2537))	{"annotations": {}, "citation": {"authors": ["Drosten C", "Erichsen S", "Herrler G", "Herrler T", "Hoffmann M", "Kleine-Weber H", "Kr\u00fcger N", "M\u00fcller MA", "Nitsche A", "P\u00f6hlmann S", "Schiergens TS", "Schroeder S", "Wu NH"], "date": "2020-03-04", "db": "PubMed", "db_id": "32142651", "db_name": "Cell", "first": "Hoffmann M", "last": "P\u00f6hlmann S"}, "evidence": "Full inhibition was attained when camostat mesylate and E-64d, an inhibitor of CatB/L, were added (Figure 4A; Figure S3B), indicating that SARS-2-S can use both CatB/L as well as TMPRSS2 for priming in these cell lines.", "line": 111, "object": {"modifier": "Activity"}, "relation": "decreases"}
a(chebi:114785)	partOf	complex(a(chebi:114785), p(hgnc:19679))	{"relation": "partOf"}
a(chebi:134719)	partOf	complex(a(chebi:134719), p(hgnc:19679))	{"relation": "partOf"}
a(chebi:134722)	partOf	complex(a(chebi:134722), a(mesh:D012324))	{"relation": "partOf"}
act(a(chebi:134722))	increases	complex(a(chebi:134722), a(mesh:D012324))	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir  is  converted  into  an  active  phosphoribosylated  form  (favipiravir-RTP)  in  cells  and  is  recognized  as  a  substrate by viral RNA polymerase, thus inhibiting RNA polymerase activity (11).", "line": 246, "relation": "increases", "subject": {"modifier": "Activity"}}
a(chebi:134722)	decreases	path(doid:8469)	{"annotations": {}, "citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir was approved for treatment of novel influenza on February 15, 2020 in China.", "line": 130, "relation": "decreases"}
a(chebi:134722)	decreases	a(mesh:D012324)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 233, "relation": "decreases"}
a(chebi:134722)	negativeCorrelation	path(mesh:D018177)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 235, "relation": "negativeCorrelation"}
a(chebi:134722)	negativeCorrelation	path(mesh:D018354)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 236, "relation": "negativeCorrelation"}
a(chebi:134722)	negativeCorrelation	path(mesh:D018702)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 237, "relation": "negativeCorrelation"}
a(chebi:134722)	negativeCorrelation	path(mesh:D002044)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 238, "relation": "negativeCorrelation"}
a(chebi:134722)	negativeCorrelation	path(mesh:D001117)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 239, "relation": "negativeCorrelation"}
a(chebi:134722)	negativeCorrelation	path(mesh:D017250)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 240, "relation": "negativeCorrelation"}
a(chebi:134722)	negativeCorrelation	path(mesh:D012327)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir is a new type of RNA-dependent RNA polymerase (RdRp) inhibitor. In addition to its anti-influenza  virus  activity,  favipiravir  is  capable  of  blocking  the  replication  of  flavi-,  alpha-,  filo-,  bunya-,  arena-, noro-, and other RNA viruses (10).", "line": 241, "relation": "negativeCorrelation"}
a(chebi:134722)	increases	act(a(chebi:134722))	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Favipiravir  is  converted  into  an  active  phosphoribosylated  form  (favipiravir-RTP)  in  cells  and  is  recognized  as  a  substrate by viral RNA polymerase, thus inhibiting RNA polymerase activity (11).", "line": 245, "object": {"modifier": "Activity"}, "relation": "increases"}
a(chebi:134722)	decreases	path(mesh:D014779)	{"citation": {"authors": ["Cao QD", "Chen SD", "Guo YR", "Hong ZS", "Jin HJ", "Tan KS", "Tan YY", "Wang DY", "Yan Y"], "date": "2020-03-13", "db": "PubMed", "db_id": "32169119", "db_name": "Military Medical Research", "first": "Guo YR", "last": "Yan Y", "pages": "11", "volume": "7"}, "evidence": "The other antiviral drugs include nitazoxanide, favipiravir, nafamostat, and so on (See Table 1 for details).", "line": 184, "relation": "decreases"}
a(chebi:134722)	decreases	path(doid:0080600)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.26434/chemrxiv.11938173.v5"}, "evidence": "Favipiravir is the latest anti-novel coronavirus drug with specific therapeutic effects.", "line": 88, "relation": "decreases"}
a(chebi:134730)	decreases	path(doid:0080600)	{"citation": {"authors": ["Hsueh PR", "Ko WC", "Lai CC", "Shih TP", "Tang HJ"], "date": "2020-03-01", "db": "PubMed", "db_id": "32081636", "db_name": "International journal of antimicrobial agents", "first": "Lai CC", "last": "Hsueh PR", "pages": "105924", "volume": "55"}, "evidence": "Several potential drug candidates, including lopinavir/ritonavir (Kaletra R), nucleoside analogues, neuraminidase inhibitors, remdesivir, umifenovir (Arbidol R), DNA synthesis inhibitors (such as tenofovir disoproxil and lamivudine), chloroquine and Chinese traditional medicines (such as ShuFeng JieDu or Lianhua Qing- wen capsules), have been proposed [36 , 37] .", "line": 108, "relation": "decreases"}
a(chebi:134730)	decreases	path(doid:0080600)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Arbidol  is  an  antiviral  that  can  be  used  to  treat  influenza  virus.  A  study  has  revealed  that  arbidol  can  effectively  inhibit  SARS-CoV-2 infection at a concentration of 10-30 \u03bcM in vitro (9).", "line": 230, "relation": "decreases"}
a(chebi:134730)	negativeCorrelation	path(doid:0080600)	{"citation": {"authors": ["Li Q", "Wang Z", "Wen L", "Yang B", "Zhang R"], "date": "2020-03-16", "db": "PubMed", "db_id": "32176772", "db_name": "Clinical infectious diseases : an official publication of the Infectious Diseases Society of America", "first": "Wang Z", "last": "Zhang R"}, "evidence": "It appears that Arbidol treatment could improve the discharging rate and decrease the mortality rate (Table 5).The  efficiency  of antifungal  agent  and corticosteroids were  also  analyzed  in Supplementary Table 1 and Table 2. Antifungal agent did not show influence on the outcome of COVID-19 patients. And use of corticosteroids were associated with a higher risk of death.", "line": 104, "relation": "negativeCorrelation"}
a(chebi:134730)	decreases	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Akdis CA", "Cao YY", "Dong X", "Du H", "Gao YD", "Lu XX", "Yan YQ", "Zhang JJ"], "date": "2020-03-20", "db": "PubMed", "db_id": "32196678", "db_name": "Allergy", "first": "Dong X", "last": "Gao YD"}, "evidence": "The patient recovered after treatment with antiviral 50 therapy (Arbidol) and supportive care.", "line": 56, "relation": "decreases"}
a(chebi:134730)	decreases	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Akdis CA", "Cao YY", "Dong X", "Du H", "Gao YD", "Lu XX", "Yan YQ", "Zhang JJ"], "date": "2020-03-20", "db": "PubMed", "db_id": "32196678", "db_name": "Allergy", "first": "Dong X", "last": "Gao YD"}, "evidence": "Symptoms improved after antiviral treatment (Arbidol) and supportive care", "line": 230, "relation": "decreases"}
a(chebi:134730)	regulates	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Chen M", "Fan Y", "Guo T", "He T", "Lu Z", "Wan J", "Wang H", "Wang X", "Wu X", "Zhang L"], "date": "2020-03-27", "db": "PubMed", "db_id": "32219356", "db_name": "JAMA cardiology", "first": "Guo T", "last": "Lu Z"}, "evidence": "Antiviral (oseltamivir, 75 mg twice a day; ribavirin, 0.5 g twice a day; umifenovir, 0.2 g 3 times a day), antibacterial (moxifloxacin, 0.4 g every day), glucocorticoid (methylprednisolone, 40-80 mg every day), and respiratory support were the main treatment approaches for the hospitalized patients (Table 1).", "line": 106, "relation": "regulates"}
a(chebi:134730)	isA	a(mesh:D000998)	{"citation": {"authors": ["Dong L", "Gao J", "Hu S"], "date": "2020-01-01", "db": "PubMed", "db_id": "32147628", "db_name": "Drug discoveries &amp; therapeutics", "first": "Dong L", "last": "Gao J", "pages": "58-60", "volume": "14"}, "evidence": "Arbidol  is  an  antiviral  that  can  be  used  to  treat  influenza  virus.  A  study  has  revealed  that  arbidol  can  effectively  inhibit  SARS-CoV-2 infection at a concentration of 10-30 \u03bcM in vitro (9).", "line": 228, "relation": "isA"}
a(chebi:134730)	decreases	path(doid:8469)	{"annotations": {}, "citation": {"authors": ["Wang Y", "Zhu LQ"], "date": "2020-03-12", "db": "PubMed", "db_id": "32166483", "db_name": "World journal of pediatrics : WJP", "first": "Wang Y", "last": "Zhu LQ"}, "evidence": "Arbidol (umifenovir) is a broad-spectrum antiviral compound approved in Russia and China for prophylaxis and treatment of influenza.", "line": 210, "relation": "decreases"}
a(chebi:134730)	decreases	a(mesh:D012367)	{"annotations": {}, "citation": {"authors": ["Wang Y", "Zhu LQ"], "date": "2020-03-12", "db": "PubMed", "db_id": "32166483", "db_name": "World journal of pediatrics : WJP", "first": "Wang Y", "last": "Zhu LQ"}, "evidence": "This compound shows activities against numerous DNA and RNA viruses [27].", "line": 217, "relation": "decreases"}
a(chebi:134730)	decreases	a(mesh:D004279)	{"annotations": {}, "citation": {"authors": ["Wang Y", "Zhu LQ"], "date": "2020-03-12", "db": "PubMed", "db_id": "32166483", "db_name": "World journal of pediatrics : WJP", "first": "Wang Y", "last": "Zhu LQ"}, "evidence": "This compound shows activities against numerous DNA and RNA viruses [27].", "line": 218, "relation": "decreases"}
a(chebi:134730)	positiveCorrelation	path(mesh:D009325)	{"annotations": {}, "citation": {"authors": ["Wang Y", "Zhu LQ"], "date": "2020-03-12", "db": "PubMed", "db_id": "32166483", "db_name": "World journal of pediatrics : WJP", "first": "Wang Y", "last": "Zhu LQ"}, "evidence": "Adverse reactions include nausea, diarrhea, dizziness, elevated serum aminotransferase, etc.", "line": 229, "relation": "positiveCorrelation"}
a(chebi:134730)	positiveCorrelation	path(doid:13250)	{"annotations": {}, "citation": {"authors": ["Wang Y", "Zhu LQ"], "date": "2020-03-12", "db": "PubMed", "db_id": "32166483", "db_name": "World journal of pediatrics : WJP", "first": "Wang Y", "last": "Zhu LQ"}, "evidence": "Adverse reactions include nausea, diarrhea, dizziness, elevated serum aminotransferase, etc.", "line": 230, "relation": "positiveCorrelation"}
a(chebi:134730)	decreases	path(doid:13250)	{"annotations": {}, "citation": {"authors": ["Akdis CA", "Cao YY", "Dong X", "Du H", "Gao YD", "Lu XX", "Yan YQ", "Zhang JJ"], "date": "2020-03-20", "db": "PubMed", "db_id": "32196678", "db_name": "Allergy", "first": "Dong X", "last": "Gao YD"}, "evidence": "Fatigue, cough, fever, and diarrhea symptoms gradually improved after treatment with antiviral medication (Arbidol, Kaletra and inhalation of interferon-\u03b1) and supportive care.", "line": 116, "relation": "decreases"}
a(chebi:134730)	positiveCorrelation	path(mesh:D004244)	{"annotations": {}, "citation": {"authors": ["Wang Y", "Zhu LQ"], "date": "2020-03-12", "db": "PubMed", "db_id": "32166483", "db_name": "World journal of pediatrics : WJP", "first": "Wang Y", "last": "Zhu LQ"}, "evidence": "Adverse reactions include nausea, diarrhea, dizziness, elevated serum aminotransferase, etc.", "line": 231, "relation": "positiveCorrelation"}
a(chebi:134730)	positiveCorrelation	a(mesh:D001219)	{"annotations": {"mesh": {"D044967": true}}, "citation": {"authors": ["Wang Y", "Zhu LQ"], "date": "2020-03-12", "db": "PubMed", "db_id": "32166483", "db_name": "World journal of pediatrics : WJP", "first": "Wang Y", "last": "Zhu LQ"}, "evidence": "Adverse reactions include nausea, diarrhea, dizziness, elevated serum aminotransferase, etc.", "line": 233, "relation": "positiveCorrelation"}
a(chebi:134730)	decreases	path(mesh:D009026)	{"citation": {"authors": ["Li Q", "Wang Z", "Wen L", "Yang B", "Zhang R"], "date": "2020-03-16", "db": "PubMed", "db_id": "32176772", "db_name": "Clinical infectious diseases : an official publication of the Infectious Diseases Society of America", "first": "Wang Z", "last": "Zhang R"}, "evidence": "It appears that Arbidol treatment could improve the discharging rate and decrease the mortality rate (Table 5).The  efficiency  of antifungal  agent  and corticosteroids were  also  analyzed  in Supplementary Table 1 and Table 2. Antifungal agent did not show influence on the outcome of COVID-19 patients. And use of corticosteroids were associated with a higher risk of death.", "line": 105, "relation": "decreases"}
a(chebi:134730)	decreases	path(mesh:D005221)	{"annotations": {}, "citation": {"authors": ["Akdis CA", "Cao YY", "Dong X", "Du H", "Gao YD", "Lu XX", "Yan YQ", "Zhang JJ"], "date": "2020-03-20", "db": "PubMed", "db_id": "32196678", "db_name": "Allergy", "first": "Dong X", "last": "Gao YD"}, "evidence": "Fatigue, cough, fever, and diarrhea symptoms gradually improved after treatment with antiviral medication (Arbidol, Kaletra and inhalation of interferon-\u03b1) and supportive care.", "line": 113, "relation": "decreases"}
a(chebi:134730)	decreases	path(mesh:D003371)	{"annotations": {}, "citation": {"authors": ["Akdis CA", "Cao YY", "Dong X", "Du H", "Gao YD", "Lu XX", "Yan YQ", "Zhang JJ"], "date": "2020-03-20", "db": "PubMed", "db_id": "32196678", "db_name": "Allergy", "first": "Dong X", "last": "Gao YD"}, "evidence": "Fatigue, cough, fever, and diarrhea symptoms gradually improved after treatment with antiviral medication (Arbidol, Kaletra and inhalation of interferon-\u03b1) and supportive care.", "line": 114, "relation": "decreases"}
a(chebi:134730)	decreases	path(mesh:D005334)	{"annotations": {}, "citation": {"authors": ["Akdis CA", "Cao YY", "Dong X", "Du H", "Gao YD", "Lu XX", "Yan YQ", "Zhang JJ"], "date": "2020-03-20", "db": "PubMed", "db_id": "32196678", "db_name": "Allergy", "first": "Dong X", "last": "Gao YD"}, "evidence": "Fatigue, cough, fever, and diarrhea symptoms gradually improved after treatment with antiviral medication (Arbidol, Kaletra and inhalation of interferon-\u03b1) and supportive care.", "line": 115, "relation": "decreases"}
a(chebi:135466)	decreases	p(hgnc:2527)	{"citation": {"authors": ["Cao QD", "Chen SD", "Guo YR", "Hong ZS", "Jin HJ", "Tan KS", "Tan YY", "Wang DY", "Yan Y"], "date": "2020-03-13", "db": "PubMed", "db_id": "32169119", "db_name": "Military Medical Research", "first": "Guo YR", "last": "Yan Y", "pages": "11", "volume": "7"}, "evidence": "The other antiviral drugs include nitazoxanide, favipiravir, nafamostat, and so on (See Table 1 for details).", "line": 176, "relation": "decreases"}
a(chebi:135466)	negativeCorrelation	bp(go:0039663)	{"citation": {"authors": ["Cao QD", "Chen SD", "Guo YR", "Hong ZS", "Jin HJ", "Tan KS", "Tan YY", "Wang DY", "Yan Y"], "date": "2020-03-13", "db": "PubMed", "db_id": "32169119", "db_name": "Military Medical Research", "first": "Guo YR", "last": "Yan Y", "pages": "11", "volume": "7"}, "evidence": "The other antiviral drugs include nitazoxanide, favipiravir, nafamostat, and so on (See Table 1 for details).", "line": 178, "relation": "negativeCorrelation"}
a(chebi:135466)	decreases	bp(go:0050817)	{"citation": {"authors": ["Cao QD", "Chen SD", "Guo YR", "Hong ZS", "Jin HJ", "Tan KS", "Tan YY", "Wang DY", "Yan Y"], "date": "2020-03-13", "db": "PubMed", "db_id": "32169119", "db_name": "Military Medical Research", "first": "Guo YR", "last": "Yan Y", "pages": "11", "volume": "7"}, "evidence": "The other antiviral drugs include nitazoxanide, favipiravir, nafamostat, and so on (See Table 1 for details).", "line": 179, "relation": "decreases"}
a(chebi:135466)	decreases	p(hgnc:9475)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "https://doi.org/10.1101/2020.03.22.002386"}, "evidence": "Chemoinformatics searches yielded 15 approved drugs, four investigational new drugs (clinical), and 18 pre-clinical candidates (Table 1a), while specialist knowledge revealed 12 approved drugs, 10 investigational new drugs (clinical), and 10 preclinical candidates (Table 1b).", "line": 607, "relation": "decreases"}
a(chebi:135466)	association	bp(go:0046718)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "https://doi.org/10.1101/2020.03.22.002386"}, "evidence": "Chemoinformatics searches yielded 15 approved drugs, four investigational new drugs (clinical), and 18 pre-clinical candidates (Table 1a), while specialist knowledge revealed 12 approved drugs, 10 investigational new drugs (clinical), and 10 preclinical candidates (Table 1b).", "line": 608, "relation": "association"}
a(chebi:135632)	partOf	complex(a(chebi:135632), p(hgnc:11876))	{"relation": "partOf"}
a(chebi:135632)	decreases	a(ncbitaxon:290028)	{"annotations": {}, "citation": {"authors": ["Kawase M", "Matsuyama S", "Shirato K"], "date": "2018-04-01", "db": "PubMed", "db_id": "29217279", "db_name": "Virology", "first": "Shirato K", "last": "Matsuyama S", "pages": "9-15", "volume": "517"}, "evidence": "For clinical isolates of HCoV-HKU1 (similar to HCoV-OC43), entry was inhibited only by camostat and EST tended to increase entry (Fig. 2g and h).", "line": 77, "relation": "decreases"}
a(chebi:135632)	decreases	act(p(hgnc:11876))	{"annotations": {}, "citation": {"authors": ["Drosten C", "Erichsen S", "Herrler G", "Herrler T", "Hoffmann M", "Kleine-Weber H", "Kr\u00fcger N", "M\u00fcller MA", "Nitsche A", "P\u00f6hlmann S", "Schiergens TS", "Schroeder S", "Wu NH"], "date": "2020-03-04", "db": "PubMed", "db_id": "32142651", "db_name": "Cell", "first": "Hoffmann M", "last": "P\u00f6hlmann S"}, "evidence": "Indeed, the clinically proven serine protease inhibitor camostat mesylate, which is active against TMPRSS2 (Kawase et al., 2012), partially blocked SARS-2-S-driven entry into Caco-2 (Figure S3 B) and Vero-TMPRSS2 cells (Figure 4A).", "line": 97, "object": {"modifier": "Activity"}, "relation": "decreases"}
a(chebi:135632)	decreases	act(p(hgnc:2527))	{"annotations": {}, "citation": {"authors": ["Drosten C", "Erichsen S", "Herrler G", "Herrler T", "Hoffmann M", "Kleine-Weber H", "Kr\u00fcger N", "M\u00fcller MA", "Nitsche A", "P\u00f6hlmann S", "Schiergens TS", "Schroeder S", "Wu NH"], "date": "2020-03-04", "db": "PubMed", "db_id": "32142651", "db_name": "Cell", "first": "Hoffmann M", "last": "P\u00f6hlmann S"}, "evidence": "Full inhibition was attained when camostat mesylate and E-64d, an inhibitor of CatB/L, were added (Figure 4A; Figure S3B), indicating that SARS-2-S can use both CatB/L as well as TMPRSS2 for priming in these cell lines.", "line": 108, "object": {"modifier": "Activity"}, "relation": "decreases"}
a(chebi:135632)	decreases	act(p(hgnc:2537))	{"annotations": {}, "citation": {"authors": ["Drosten C", "Erichsen S", "Herrler G", "Herrler T", "Hoffmann M", "Kleine-Weber H", "Kr\u00fcger N", "M\u00fcller MA", "Nitsche A", "P\u00f6hlmann S", "Schiergens TS", "Schroeder S", "Wu NH"], "date": "2020-03-04", "db": "PubMed", "db_id": "32142651", "db_name": "Cell", "first": "Hoffmann M", "last": "P\u00f6hlmann S"}, "evidence": "Full inhibition was attained when camostat mesylate and E-64d, an inhibitor of CatB/L, were added (Figure 4A; Figure S3B), indicating that SARS-2-S can use both CatB/L as well as TMPRSS2 for priming in these cell lines.", "line": 109, "object": {"modifier": "Activity"}, "relation": "decreases"}
